start_time,trip_count
"1/15/2014 14",49
"1/15/2014 15",38
"1/15/2014 16",81
"1/15/2014 17",129
"1/15/2014 18",89
"1/15/2014 19",55
"1/15/2014 20",36
"1/15/2014 21",15
"1/15/2014 22",10
"1/15/2014 23",7
"1/15/2014 4",2
"1/15/2014 5",6
"1/15/2014 6",24
"1/15/2014 7",62
"1/15/2014 8",148
"1/15/2014 9",118
"1/15/2015 0",1
"1/15/2015 10",53
"1/15/2015 11",34
"1/15/2015 12",55
"1/15/2015 13",51
"1/15/2015 14",33
"1/15/2015 15",44
"1/15/2015 16",110
"1/15/2015 17",164
"1/15/2015 18",91
"1/15/2015 19",46
"1/15/2015 20",31
"1/15/2015 21",15
"1/15/2015 22",12
"1/15/2015 23",6
"1/15/2015 4",3
"1/15/2015 5",10
"1/15/2015 6",32
"1/15/2015 7",88
"1/15/2015 8",201
"1/15/2015 9",149
"1/16/2014 0",3
"1/16/2014 1",1
"1/16/2014 10",44
"1/16/2014 11",41
"1/16/2014 12",71
"1/16/2014 13",53
"1/16/2014 14",45
"1/16/2014 15",51
"1/16/2014 16",93
"1/16/2014 17",120
"1/16/2014 18",103
"1/16/2014 19",52
"1/16/2014 20",23
"1/16/2014 21",23
"1/16/2014 22",3
"1/16/2014 23",7
"1/16/2014 4",1
"1/16/2014 5",5
"1/16/2014 6",27
"1/16/2014 7",71
"1/16/2014 8",149
"1/16/2014 9",111
"1/16/2015 0",2
"1/16/2015 1",2
"1/16/2015 10",45
"1/16/2015 11",26
"1/16/2015 12",40
"1/16/2015 13",44
"1/16/2015 14",29
"1/16/2015 15",54
"1/16/2015 16",114
"1/16/2015 17",152
"1/16/2015 18",81
"1/16/2015 19",42
"1/16/2015 20",24
"1/16/2015 21",16
"1/16/2015 22",10
"1/16/2015 23",7
"1/16/2015 4",4
"1/16/2015 5",9
"1/16/2015 6",21
"1/16/2015 7",73
"1/16/2015 8",160
"1/16/2015 9",127
"1/17/2014 0",2
"1/17/2014 1",2
"1/17/2014 10",50
