start_time,trip_count
"11/21/2014 6",29
"11/21/2014 7",91
"11/21/2014 8",181
"11/21/2014 9",124
"11/22/2013 0",4
"11/22/2013 10",41
"11/22/2013 11",47
"11/22/2013 12",62
"11/22/2013 13",74
"11/22/2013 14",37
"11/22/2013 15",45
"11/22/2013 16",88
"11/22/2013 17",103
"11/22/2013 18",79
"11/22/2013 19",25
"11/22/2013 20",28
"11/22/2013 21",13
"11/22/2013 22",6
"11/22/2013 23",14
"11/22/2013 3",1
"11/22/2013 4",2
"11/22/2013 5",7
"11/22/2013 6",24
"11/22/2013 7",56
"11/22/2013 8",126
"11/22/2013 9",113
"11/22/2014 0",6
"11/22/2014 1",2
"11/22/2014 10",7
"11/22/2014 11",21
"11/22/2014 12",45
"11/22/2014 13",35
"11/22/2014 14",32
"11/22/2014 15",49
"11/22/2014 16",45
"11/22/2014 17",26
"11/22/2014 18",8
"11/22/2014 19",10
"11/22/2014 20",19
"11/22/2014 21",5
"11/22/2014 22",8
"11/22/2014 23",10
"11/22/2014 5",1
"11/22/2014 6",1
"11/22/2014 7",2
"11/22/2014 8",4
"11/22/2014 9",7
"11/23/2013 0",14
"11/23/2013 1",9
"11/23/2013 10",40
"11/23/2013 11",45
"11/23/2013 12",67
"11/23/2013 13",68
"11/23/2013 14",48
"11/23/2013 15",44
"11/23/2013 16",43
"11/23/2013 17",24
"11/23/2013 18",18
"11/23/2013 19",13
"11/23/2013 2",1
"11/23/2013 20",10
"11/23/2013 21",9
"11/23/2013 22",11
"11/23/2013 23",7
"11/23/2013 3",1
"11/23/2013 4",1
"11/23/2013 5",2
"11/23/2013 6",3
"11/23/2013 7",10
"11/23/2013 8",15
"11/23/2013 9",22
"11/23/2014 0",4
"11/23/2014 1",2
"11/23/2014 10",18
"11/23/2014 11",25
"11/23/2014 12",20
"11/23/2014 13",24
"11/23/2014 14",26
"11/23/2014 15",29
"11/23/2014 16",18
"11/23/2014 17",16
"11/23/2014 18",9
"11/23/2014 19",5
"11/23/2014 20",5
"11/23/2014 21",3
"11/23/2014 22",2
"11/23/2014 23",2
"11/23/2014 6",1
"11/23/2014 7",5
"11/23/2014 8",3
"11/23/2014 9",18
"11/24/2013 0",4
"11/24/2013 1",11
"11/24/2013 10",37
"11/24/2013 11",23
"11/24/2013 12",39
"11/24/2013 13",47
"11/24/2013 14",39
"11/24/2013 15",35
"11/24/2013 16",24
"11/24/2013 17",19
"11/24/2013 18",8
"11/24/2013 19",5
"11/24/2013 2",3
"11/24/2013 20",5
"11/24/2013 21",2
"11/24/2013 22",1
"11/24/2013 23",2
"11/24/2013 5",2
"11/24/2013 6",2
"11/24/2013 7",5
"11/24/2013 8",14
"11/24/2013 9",21
"11/24/2014 10",53
"11/24/2014 11",59
"11/24/2014 12",42
"11/24/2014 13",42
"11/24/2014 14",37
"11/24/2014 15",55
"11/24/2014 16",120
"11/24/2014 17",199
"11/24/2014 18",101
"11/24/2014 19",53
"11/24/2014 2",1
"11/24/2014 20",42
"11/24/2014 21",20
"11/24/2014 22",9
"11/24/2014 23",4
"11/24/2014 4",1
"11/24/2014 5",11
"11/24/2014 6",21
"11/24/2014 7",103
"11/24/2014 8",181
"11/24/2014 9",131
"11/25/2013 1",1
"11/25/2013 10",46
"11/25/2013 11",48
"11/25/2013 12",48
"11/25/2013 13",46
"11/25/2013 14",41
"11/25/2013 15",50
"11/25/2013 16",103
"11/25/2013 17",128
"11/25/2013 18",71
"11/25/2013 19",52
"11/25/2013 20",25
"11/25/2013 21",10
"11/25/2013 22",9
"11/25/2013 23",8
"11/25/2013 3",1
"11/25/2013 4",3
"11/25/2013 5",7
"11/25/2013 6",20
"11/25/2013 7",73
"11/25/2013 8",130
"11/25/2013 9",99
"11/25/2014 0",1
"11/25/2014 10",38
"11/25/2014 11",57
"11/25/2014 12",66
"11/25/2014 13",40
"11/25/2014 14",21
"11/25/2014 15",62
"11/25/2014 16",107
"11/25/2014 17",155
"11/25/2014 18",98
"11/25/2014 19",35
"11/25/2014 2",1
"11/25/2014 20",34
"11/25/2014 21",13
"11/25/2014 22",8
"11/25/2014 23",1
"11/25/2014 4",1
"11/25/2014 5",7
"11/25/2014 6",27
"11/25/2014 7",106
"11/25/2014 8",186
"11/25/2014 9",119
"11/26/2013 0",2
"11/26/2013 10",66
"11/26/2013 11",50
"11/26/2013 12",64
"11/26/2013 13",52
"11/26/2013 14",44
"11/26/2013 15",41
"11/26/2013 16",93
"11/26/2013 17",102
"11/26/2013 18",84
"11/26/2013 19",40
"11/26/2013 2",1
"11/26/2013 20",23
"11/26/2013 21",7
"11/26/2013 22",10
"11/26/2013 23",5
"11/26/2013 4",2
"11/26/2013 5",4
"11/26/2013 6",33
"11/26/2013 7",54
"11/26/2013 8",124
"11/26/2013 9",103
"11/26/2014 0",3
"11/26/2014 10",37
"11/26/2014 11",37
"11/26/2014 12",31
"11/26/2014 13",60
"11/26/2014 14",46
"11/26/2014 15",58
"11/26/2014 16",78
"11/26/2014 17",50
"11/26/2014 18",29
"11/26/2014 19",21
"11/26/2014 2",2
"11/26/2014 20",13
"11/26/2014 21",9
"11/26/2014 22",10
"11/26/2014 23",7
"11/26/2014 5",3
"11/26/2014 6",19
"11/26/2014 7",64
"11/26/2014 8",100
"11/26/2014 9",81
"11/27/2013 0",2
"11/27/2013 1",3
"11/27/2013 10",39
"11/27/2013 11",25
"11/27/2013 12",55
"11/27/2013 13",47
"11/27/2013 14",53
"11/27/2013 15",43
"11/27/2013 16",69
"11/27/2013 17",63
"11/27/2013 18",37
"11/27/2013 19",24
"11/27/2013 20",16
"11/27/2013 21",12
"11/27/2013 22",7
"11/27/2013 23",3
"11/27/2013 3",1
"11/27/2013 4",3
"11/27/2013 5",2
"11/27/2013 6",20
"11/27/2013 7",49
"11/27/2013 8",79
"11/27/2013 9",68
"11/27/2014 0",2
"11/27/2014 1",3
"11/27/2014 10",9
"11/27/2014 11",12
"11/27/2014 12",22
"11/27/2014 13",8
"11/27/2014 14",13
"11/27/2014 15",10
"11/27/2014 16",11
"11/27/2014 17",5
"11/27/2014 18",3
"11/27/2014 19",3
"11/27/2014 2",1
"11/27/2014 20",4
"11/27/2014 21",2
"11/27/2014 22",2
"11/27/2014 23",3
"11/27/2014 3",1
"11/27/2014 7",1
"11/27/2014 8",12
"11/27/2014 9",6
"11/28/2013 0",2
"11/28/2013 1",2
"11/28/2013 10",19
"11/28/2013 11",27
"11/28/2013 12",28
"11/28/2013 13",30
"11/28/2013 14",29
"11/28/2013 15",30
"11/28/2013 16",18
"11/28/2013 17",11
"11/28/2013 18",7
"11/28/2013 19",10
"11/28/2013 2",3
"11/28/2013 20",6
"11/28/2013 21",10
"11/28/2013 22",5
"11/28/2013 23",5
"11/28/2013 3",1
"11/28/2013 6",4
"11/28/2013 7",3
"11/28/2013 8",6
"11/28/2013 9",16
"11/28/2014 0",2
"11/28/2014 10",25
"11/28/2014 11",18
"11/28/2014 12",20
"11/28/2014 13",28
"11/28/2014 14",26
"11/28/2014 15",25
"11/28/2014 16",30
"11/28/2014 17",17
"11/28/2014 18",12
"11/28/2014 19",7
"11/28/2014 2",1
"11/28/2014 20",8
"11/28/2014 21",7
"11/28/2014 22",2
"11/28/2014 23",6
"11/28/2014 5",1
"11/28/2014 6",4
"11/28/2014 7",7
"11/28/2014 8",13
"11/28/2014 9",18
"11/29/2013 0",3
"11/29/2013 10",43
"11/29/2013 11",24
"11/29/2013 12",28
"11/29/2013 13",43
"11/29/2013 14",47
"11/29/2013 15",52
"11/29/2013 16",35
"11/29/2013 17",23
"11/29/2013 18",7
"11/29/2013 19",10
"11/29/2013 20",3
"11/29/2013 21",11
"11/29/2013 22",4
"11/29/2013 23",4
"11/29/2013 4",1
"11/29/2013 6",8
"11/29/2013 7",4
"11/29/2013 8",15
"11/29/2013 9",19
"11/29/2014 0",1
"11/29/2014 10",7
"11/29/2014 11",21
"11/29/2014 12",31
"11/29/2014 13",20
"11/29/2014 14",13
"11/29/2014 15",35
"11/29/2014 16",32
"11/29/2014 17",8
"11/29/2014 18",23
"11/29/2014 19",8
"11/29/2014 2",1
"11/29/2014 20",32
"11/29/2014 21",8
"11/29/2014 22",14
"11/29/2014 23",6
"11/29/2014 5",1
"11/29/2014 7",1
"11/29/2014 8",6
"11/29/2014 9",13
"11/3/2013 0",2
"11/3/2013 1",4
"11/3/2013 10",29
"11/3/2013 11",47
"11/3/2013 12",53
"11/3/2013 13",28
"11/3/2013 14",40
"11/3/2013 15",33
"11/3/2013 16",27
"11/3/2013 17",14
"11/3/2013 18",20
"11/3/2013 19",8
"11/3/2013 2",1
"11/3/2013 20",6
"11/3/2013 21",4
"11/3/2013 22",5
"11/3/2013 23",4
"11/3/2013 3",1
"11/3/2013 4",1
"11/3/2013 6",5
"11/3/2013 7",8
"11/3/2013 8",13
"11/3/2013 9",19
"11/3/2014 0",1
"11/3/2014 1",3
"11/3/2014 10",54
"11/3/2014 11",36
"11/3/2014 12",36
"11/3/2014 13",34
"11/3/2014 14",34
"11/3/2014 15",56
"11/3/2014 16",111
"11/3/2014 17",197
"11/3/2014 18",146
"11/3/2014 19",56
"11/3/2014 20",33
"11/3/2014 21",16
"11/3/2014 22",6
"11/3/2014 23",1
"11/3/2014 4",2
"11/3/2014 5",10
"11/3/2014 6",30
"11/3/2014 7",113
"11/3/2014 8",249
"11/3/2014 9",123
"11/30/2013 0",1
"11/30/2013 1",1
"11/30/2013 10",36
"11/30/2013 11",26
"11/30/2013 12",31
"11/30/2013 13",33
"11/30/2013 14",31
"11/30/2013 15",28
"11/30/2013 16",29
"11/30/2013 17",17
"11/30/2013 18",18
"11/30/2013 19",7
"11/30/2013 20",3
"11/30/2013 21",5
"11/30/2013 22",3
"11/30/2013 23",2
"11/30/2013 5",1
"11/30/2013 6",3
"11/30/2013 7",4
"11/30/2013 8",13
"11/30/2013 9",15
"11/30/2014 1",2
"11/30/2014 10",5
"11/30/2014 11",5
"11/30/2014 12",18
"11/30/2014 13",19
"11/30/2014 14",19
"11/30/2014 15",12
"11/30/2014 16",10
"11/30/2014 17",5
"11/30/2014 18",5
"11/30/2014 19",7
"11/30/2014 20",1
"11/30/2014 3",2
"11/30/2014 8",2
"11/30/2014 9",9
"11/4/2013 0",2
"11/4/2013 10",45
"11/4/2013 11",54
"11/4/2013 12",55
"11/4/2013 13",66
"11/4/2013 14",48
"11/4/2013 15",43
"11/4/2013 16",89
"11/4/2013 17",131
"11/4/2013 18",85
"11/4/2013 19",55
"11/4/2013 20",36
"11/4/2013 21",18
"11/4/2013 22",7
"11/4/2013 23",5
"11/4/2013 4",5
"11/4/2013 5",6
"11/4/2013 6",28
"11/4/2013 7",83
"11/4/2013 8",159
"11/4/2013 9",108
"11/4/2014 0",1
"11/4/2014 10",47
"11/4/2014 11",48
"11/4/2014 12",42
"11/4/2014 13",51
"11/4/2014 14",27
"11/4/2014 15",56
"11/4/2014 16",123
"11/4/2014 17",169
"11/4/2014 18",125
"11/4/2014 19",53
"11/4/2014 20",24
"11/4/2014 21",28
"11/4/2014 22",6
"11/4/2014 23",11
"11/4/2014 4",2
"11/4/2014 5",7
"11/4/2014 6",36
"11/4/2014 7",115
"11/4/2014 8",199
"11/4/2014 9",132
"11/5/2013 1",1
"11/5/2013 10",55
"11/5/2013 11",52
"11/5/2013 12",74
"11/5/2013 13",63
"11/5/2013 14",45
"11/5/2013 15",39
"11/5/2013 16",88
"11/5/2013 17",139
"11/5/2013 18",92
"11/5/2013 19",67
"11/5/2013 2",1
"11/5/2013 20",37
"11/5/2013 21",17
"11/5/2013 22",18
"11/5/2013 23",4
"11/5/2013 4",5
"11/5/2013 5",3
"11/5/2013 6",35
"11/5/2013 7",83
"11/5/2013 8",142
"11/5/2013 9",98
"11/5/2014 0",2
"11/5/2014 1",2
"11/5/2014 10",72
"11/5/2014 11",38
"11/5/2014 12",46
"11/5/2014 13",67
"11/5/2014 14",34
"11/5/2014 15",45
"11/5/2014 16",105
"11/5/2014 17",190
"11/5/2014 18",118
"11/5/2014 19",48
"11/5/2014 2",1
"11/5/2014 20",37
"11/5/2014 21",19
"11/5/2014 22",10
"11/5/2014 23",6
"11/5/2014 3",1
"11/5/2014 4",3
"11/5/2014 5",7
"11/5/2014 6",39
"11/5/2014 7",124
"11/5/2014 8",244
"11/5/2014 9",124
"11/6/2013 0",2
"11/6/2013 1",1
"11/6/2013 10",47
"11/6/2013 11",55
"11/6/2013 12",46
"11/6/2013 13",53
"11/6/2013 14",43
"11/6/2013 15",49
"11/6/2013 16",110
"11/6/2013 17",132
"11/6/2013 18",84
"11/6/2013 19",49
"11/6/2013 2",1
"11/6/2013 20",33
"11/6/2013 21",19
"11/6/2013 22",17
"11/6/2013 23",4
"11/6/2013 4",6
"11/6/2013 5",7
"11/6/2013 6",29
"11/6/2013 7",75
"11/6/2013 8",140
"11/6/2013 9",83
"11/6/2014 0",2
"11/6/2014 10",69
"11/6/2014 11",56
"11/6/2014 12",71
"11/6/2014 13",57
"11/6/2014 14",39
"11/6/2014 15",56
"11/6/2014 16",123
"11/6/2014 17",178
"11/6/2014 18",121
"11/6/2014 19",41
"11/6/2014 2",2
"11/6/2014 20",33
"11/6/2014 21",29
"11/6/2014 22",13
"11/6/2014 23",6
"11/6/2014 4",5
"11/6/2014 5",7
"11/6/2014 6",29
"11/6/2014 7",103
"11/6/2014 8",235
"11/6/2014 9",135
"11/7/2013 0",1
"11/7/2013 10",59
"11/7/2013 11",69
"11/7/2013 12",75
"11/7/2013 13",59
"11/7/2013 14",45
"11/7/2013 15",50
"11/7/2013 16",105
"11/7/2013 17",133
"11/7/2013 18",98
"11/7/2013 19",48
"11/7/2013 20",36
"11/7/2013 21",29
"11/7/2013 22",18
"11/7/2013 23",7
"11/7/2013 4",3
"11/7/2013 5",4
"11/7/2013 6",30
"11/7/2013 7",83
"11/7/2013 8",145
"11/7/2013 9",100
"11/7/2014 0",2
"11/7/2014 1",2
"11/7/2014 10",65
"11/7/2014 11",47
"11/7/2014 12",51
"11/7/2014 13",35
"11/7/2014 14",45
"11/7/2014 15",65
"11/7/2014 16",130
"11/7/2014 17",183
"11/7/2014 18",88
"11/7/2014 19",39
"11/7/2014 2",1
"11/7/2014 20",35
"11/7/2014 21",12
"11/7/2014 22",9
"11/7/2014 23",17
"11/7/2014 4",1
"11/7/2014 5",6
"11/7/2014 6",30
"11/7/2014 7",108
"11/7/2014 8",203
"11/7/2014 9",127
"11/8/2013 0",5
"11/8/2013 1",1
"11/8/2013 10",44
"11/8/2013 11",73
"11/8/2013 12",76
"11/8/2013 13",72
"11/8/2013 14",67
"11/8/2013 15",74
"11/8/2013 16",107
"11/8/2013 17",135
"11/8/2013 18",74
"11/8/2013 19",38
"11/8/2013 20",25
"11/8/2013 21",20
"11/8/2013 22",6
"11/8/2013 23",4
"11/8/2013 4",3
"11/8/2013 5",4
"11/8/2013 6",29
"11/8/2013 7",71
"11/8/2013 8",133
"11/8/2013 9",111
"11/8/2014 0",5
"11/8/2014 1",5
"11/8/2014 10",42
"11/8/2014 11",37
"11/8/2014 12",42
"11/8/2014 13",40
"11/8/2014 14",38
"11/8/2014 15",57
"11/8/2014 16",39
"11/8/2014 17",29
"11/8/2014 18",28
"11/8/2014 19",18
"11/8/2014 2",3
"11/8/2014 20",18
"11/8/2014 21",19
"11/8/2014 22",16
"11/8/2014 23",15
"11/8/2014 3",1
"11/8/2014 4",1
"11/8/2014 5",1
"11/8/2014 6",3
"11/8/2014 7",6
"11/8/2014 8",22
"11/8/2014 9",27
"11/9/2013 0",3
"11/9/2013 1",3
"11/9/2013 10",53
"11/9/2013 11",58
"11/9/2013 12",71
"11/9/2013 13",66
"11/9/2013 14",48
"11/9/2013 15",88
"11/9/2013 16",59
"11/9/2013 17",36
"11/9/2013 18",38
"11/9/2013 19",12
"11/9/2013 2",6
"11/9/2013 20",12
"11/9/2013 21",6
"11/9/2013 22",11
"11/9/2013 23",4
"11/9/2013 5",1
"11/9/2013 6",2
"11/9/2013 7",10
"11/9/2013 8",16
"11/9/2013 9",31
"11/9/2014 0",9
"11/9/2014 1",1
"11/9/2014 10",27
"11/9/2014 11",39
"11/9/2014 12",31
"11/9/2014 13",39
"11/9/2014 14",30
"11/9/2014 15",30
"11/9/2014 16",31
"11/9/2014 17",22
"11/9/2014 18",11
"11/9/2014 19",11
"11/9/2014 20",11
"11/9/2014 21",4
"11/9/2014 22",6
"11/9/2014 23",5
"11/9/2014 4",1
"11/9/2014 5",3
"11/9/2014 6",5
"11/9/2014 7",8
"11/9/2014 8",21
"11/9/2014 9",32
"12/1/2013 1",5
"12/1/2013 10",28
"12/1/2013 11",32
"12/1/2013 12",27
"12/1/2013 13",28
"12/1/2013 14",40
"12/1/2013 15",44
"12/1/2013 16",22
"12/1/2013 17",16
"12/1/2013 18",11
"12/1/2013 19",7
"12/1/2013 2",2
"12/1/2013 20",6
"12/1/2013 21",9
"12/1/2013 22",9
"12/1/2013 23",7
"12/1/2013 3",1
"12/1/2013 6",1
"12/1/2013 7",3
"12/1/2013 8",12
"12/1/2013 9",19
"12/1/2014 0",4
"12/1/2014 10",44
"12/1/2014 11",29
"12/1/2014 12",36
"12/1/2014 13",27
"12/1/2014 14",24
"12/1/2014 15",45
"12/1/2014 16",118
"12/1/2014 17",178
"12/1/2014 18",108
"12/1/2014 19",49
"12/1/2014 2",1
"12/1/2014 20",29
"12/1/2014 21",15
"12/1/2014 22",10
"12/1/2014 23",5
"12/1/2014 4",1
"12/1/2014 5",6
"12/1/2014 6",27
"12/1/2014 7",122
"12/1/2014 8",188
"12/1/2014 9",115
"12/10/2013 10",42
"12/10/2013 11",41
"12/10/2013 12",36
"12/10/2013 13",44
"12/10/2013 14",20
"12/10/2013 15",35
"12/10/2013 16",75
"12/10/2013 17",100
"12/10/2013 18",90
"12/10/2013 19",45
"12/10/2013 2",1
"12/10/2013 20",26
"12/10/2013 21",17
"12/10/2013 22",13
"12/10/2013 23",8
"12/10/2013 5",4
"12/10/2013 6",24
"12/10/2013 7",64
"12/10/2013 8",97
"12/10/2013 9",96
"12/10/2014 0",2
"12/10/2014 1",2
"12/10/2014 10",44
"12/10/2014 11",56
"12/10/2014 12",46
"12/10/2014 13",42
"12/10/2014 14",40
"12/10/2014 15",53
"12/10/2014 16",120
"12/10/2014 17",160
"12/10/2014 18",102
"12/10/2014 19",65
"12/10/2014 2",2
"12/10/2014 20",21
"12/10/2014 21",15
"12/10/2014 22",9
"12/10/2014 23",11
"12/10/2014 3",1
"12/10/2014 4",2
"12/10/2014 5",10
"12/10/2014 6",36
"12/10/2014 7",87
"12/10/2014 8",210
"12/10/2014 9",143
"12/11/2013 1",2
"12/11/2013 10",42
"12/11/2013 11",34
"12/11/2013 12",50
"12/11/2013 13",51
"12/11/2013 14",34
"12/11/2013 15",34
"12/11/2013 16",81
"12/11/2013 17",92
"12/11/2013 18",85
"12/11/2013 19",30
"12/11/2013 2",2
"12/11/2013 20",24
"12/11/2013 21",17
"12/11/2013 22",15
"12/11/2013 23",6
"12/11/2013 4",2
"12/11/2013 5",5
"12/11/2013 6",24
"12/11/2013 7",61
"12/11/2013 8",115
"12/11/2013 9",97
"12/11/2014 0",1
"12/11/2014 1",2
"12/11/2014 10",5
"12/11/2014 11",2
"12/11/2014 12",3
"12/11/2014 13",4
"12/11/2014 14",2
"12/11/2014 15",7
"12/11/2014 16",8
"12/11/2014 17",7
"12/11/2014 18",6
"12/11/2014 19",5
"12/11/2014 20",6
"12/11/2014 21",2
"12/11/2014 22",2
"12/11/2014 23",2
"12/11/2014 3",1
"12/11/2014 4",1
"12/11/2014 6",6
"12/11/2014 7",11
"12/11/2014 8",15
"12/11/2014 9",9
"12/12/2013 0",6
"12/12/2013 10",38
"12/12/2013 11",41
"12/12/2013 12",49
"12/12/2013 13",47
"12/12/2013 14",36
"12/12/2013 15",39
"12/12/2013 16",106
"12/12/2013 17",106
"12/12/2013 18",77
"12/12/2013 19",46
"12/12/2013 2",4
"12/12/2013 20",20
"12/12/2013 21",16
"12/12/2013 22",16
"12/12/2013 23",4
"12/12/2013 4",1
"12/12/2013 5",6
"12/12/2013 6",18
"12/12/2013 7",59
"12/12/2013 8",130
"12/12/2013 9",101
"12/12/2014 0",3
"12/12/2014 10",17
"12/12/2014 11",10
"12/12/2014 12",14
"12/12/2014 13",28
"12/12/2014 14",25
"12/12/2014 15",32
"12/12/2014 16",88
"12/12/2014 17",118
"12/12/2014 18",54
"12/12/2014 19",28
"12/12/2014 2",1
"12/12/2014 20",16
"12/12/2014 21",13
"12/12/2014 22",17
"12/12/2014 23",10
"12/12/2014 4",1
"12/12/2014 5",4
"12/12/2014 6",14
"12/12/2014 7",14
"12/12/2014 8",57
"12/12/2014 9",58
"12/13/2013 0",2
"12/13/2013 1",1
"12/13/2013 10",59
"12/13/2013 11",42
"12/13/2013 12",51
"12/13/2013 13",56
"12/13/2013 14",32
"12/13/2013 15",68
"12/13/2013 16",100
"12/13/2013 17",96
"12/13/2013 18",70
"12/13/2013 19",41
"12/13/2013 2",1
"12/13/2013 20",24
"12/13/2013 21",11
"12/13/2013 22",10
"12/13/2013 23",6
"12/13/2013 4",2
"12/13/2013 5",9
"12/13/2013 6",12
"12/13/2013 7",61
"12/13/2013 8",122
"12/13/2013 9",86
"12/13/2014 0",2
"12/13/2014 10",36
"12/13/2014 11",27
"12/13/2014 12",43
"12/13/2014 13",36
"12/13/2014 14",34
"12/13/2014 15",26
"12/13/2014 16",40
"12/13/2014 17",18
"12/13/2014 18",20
"12/13/2014 19",14
"12/13/2014 20",12
"12/13/2014 21",11
"12/13/2014 22",6
"12/13/2014 23",9
"12/13/2014 3",1
"12/13/2014 4",1
"12/13/2014 5",1
"12/13/2014 6",1
"12/13/2014 7",6
"12/13/2014 8",14
"12/13/2014 9",10
"12/14/2013 0",5
"12/14/2013 1",4
"12/14/2013 10",36
"12/14/2013 11",32
"12/14/2013 12",30
"12/14/2013 13",35
"12/14/2013 14",39
"12/14/2013 15",39
"12/14/2013 16",31
"12/14/2013 17",32
"12/14/2013 18",19
"12/14/2013 19",22
"12/14/2013 2",3
"12/14/2013 20",5
"12/14/2013 21",17
"12/14/2013 22",5
"12/14/2013 23",5
"12/14/2013 6",1
"12/14/2013 7",4
"12/14/2013 8",13
"12/14/2013 9",15
"12/14/2014 0",4
"12/14/2014 1",1
"12/14/2014 10",15
"12/14/2014 11",30
"12/14/2014 12",37
"12/14/2014 13",30
"12/14/2014 14",21
"12/14/2014 15",25
"12/14/2014 16",14
"12/14/2014 17",15
"12/14/2014 18",15
"12/14/2014 19",11
"12/14/2014 20",8
"12/14/2014 21",5
"12/14/2014 22",2
"12/14/2014 6",3
"12/14/2014 7",2
"12/14/2014 8",11
"12/14/2014 9",15
"12/15/2013 0",6
"12/15/2013 10",24
"12/15/2013 11",34
"12/15/2013 12",30
"12/15/2013 13",25
"12/15/2013 14",32
"12/15/2013 15",31
"12/15/2013 16",22
"12/15/2013 17",23
"12/15/2013 18",23
"12/15/2013 19",7
"12/15/2013 2",2
"12/15/2013 20",6
"12/15/2013 21",2
"12/15/2013 22",2
"12/15/2013 23",2
"12/15/2013 6",1
"12/15/2013 7",3
"12/15/2013 8",9
"12/15/2013 9",35
"12/15/2014 10",30
"12/15/2014 11",18
"12/15/2014 12",2
"12/15/2014 13",10
"12/15/2014 14",9
"12/15/2014 15",23
"12/15/2014 16",53
"12/15/2014 17",119
"12/15/2014 18",80
"12/15/2014 19",33
"12/15/2014 20",31
"12/15/2014 21",16
"12/15/2014 22",5
"12/15/2014 23",5
"12/15/2014 6",13
"12/15/2014 7",39
"12/15/2014 8",99
"12/15/2014 9",59
"12/16/2013 0",5
"12/16/2013 1",11
"12/16/2013 10",32
"12/16/2013 11",33
"12/16/2013 12",45
"12/16/2013 13",36
"12/16/2013 14",35
"12/16/2013 15",27
"12/16/2013 16",87
"12/16/2013 17",116
"12/16/2013 18",77
"12/16/2013 19",54
"12/16/2013 2",13
"12/16/2013 20",28
"12/16/2013 21",19
"12/16/2013 22",12
"12/16/2013 23",3
"12/16/2013 4",1
"12/16/2013 5",3
"12/16/2013 6",28
"12/16/2013 7",70
"12/16/2013 8",124
"12/16/2013 9",87
"12/16/2014 0",1
"12/16/2014 10",39
"12/16/2014 11",48
"12/16/2014 12",41
"12/16/2014 13",40
"12/16/2014 14",22
"12/16/2014 15",18
"12/16/2014 16",34
"12/16/2014 17",50
"12/16/2014 18",40
"12/16/2014 19",27
"12/16/2014 2",2
"12/16/2014 20",13
"12/16/2014 21",12
"12/16/2014 22",7
"12/16/2014 5",3
"12/16/2014 6",24
"12/16/2014 7",67
"12/16/2014 8",164
"12/16/2014 9",118
"12/17/2013 1",2
"12/17/2013 10",50
"12/17/2013 11",43
"12/17/2013 12",68
"12/17/2013 13",46
"12/17/2013 14",27
"12/17/2013 15",48
"12/17/2013 16",89
"12/17/2013 17",104
"12/17/2013 18",78
"12/17/2013 19",41
"12/17/2013 20",33
"12/17/2013 21",12
"12/17/2013 22",9
"12/17/2013 23",3
"12/17/2013 5",4
"12/17/2013 6",23
"12/17/2013 7",65
"12/17/2013 8",134
"12/17/2013 9",96
"12/17/2014 1",1
"12/17/2014 10",35
"12/17/2014 11",28
"12/17/2014 12",47
"12/17/2014 13",43
"12/17/2014 14",27
"12/17/2014 15",29
"12/17/2014 16",58
"12/17/2014 17",70
"12/17/2014 18",75
"12/17/2014 19",28
"12/17/2014 20",12
"12/17/2014 21",11
"12/17/2014 22",5
"12/17/2014 23",4
"12/17/2014 3",1
"12/17/2014 4",3
"12/17/2014 5",9
"12/17/2014 6",20
"12/17/2014 7",63
"12/17/2014 8",147
"12/17/2014 9",93
"12/18/2013 0",8
"12/18/2013 1",1
"12/18/2013 10",46
"12/18/2013 11",41
"12/18/2013 12",56
"12/18/2013 13",50
"12/18/2013 14",39
"12/18/2013 15",39
"12/18/2013 16",51
"12/18/2013 17",111
"12/18/2013 18",87
"12/18/2013 19",29
"12/18/2013 20",30
"12/18/2013 21",18
"12/18/2013 22",5
"12/18/2013 23",5
"12/18/2013 4",1
"12/18/2013 5",4
"12/18/2013 6",24
"12/18/2013 7",68
"12/18/2013 8",108
"12/18/2013 9",107
"12/18/2014 0",2
"12/18/2014 1",2
"12/18/2014 10",39
"12/18/2014 11",45
"12/18/2014 12",36
"12/18/2014 13",43
"12/18/2014 14",43
"12/18/2014 15",53
"12/18/2014 16",106
"12/18/2014 17",133
"12/18/2014 18",83
"12/18/2014 19",63
"12/18/2014 20",27
"12/18/2014 21",22
"12/18/2014 22",14
"12/18/2014 23",10
"12/18/2014 4",3
"12/18/2014 5",3
"12/18/2014 6",30
"12/18/2014 7",74
"12/18/2014 8",176
"12/18/2014 9",119
"12/19/2013 0",2
"12/19/2013 10",47
"12/19/2013 11",41
"12/19/2013 12",47
"12/19/2013 13",50
"12/19/2013 14",36
"12/19/2013 15",56
"12/19/2013 16",93
"12/19/2013 17",100
"12/19/2013 18",89
"12/19/2013 19",29
"12/19/2013 20",16
"12/19/2013 21",16
"12/19/2013 22",9
"12/19/2013 23",3
"12/19/2013 5",6
"12/19/2013 6",22
"12/19/2013 7",65
"12/19/2013 8",112
"12/19/2013 9",96
"12/19/2014 0",2
"12/19/2014 10",7
"12/19/2014 11",18
"12/19/2014 12",8
"12/19/2014 13",4
"12/19/2014 14",5
"12/19/2014 15",20
"12/19/2014 16",59
"12/19/2014 17",85
"12/19/2014 18",59
"12/19/2014 19",22
"12/19/2014 2",1
"12/19/2014 20",25
"12/19/2014 21",7
"12/19/2014 22",13
"12/19/2014 23",2
"12/19/2014 4",2
"12/19/2014 5",3
"12/19/2014 6",17
"12/19/2014 7",41
"12/19/2014 8",82
"12/19/2014 9",50
